3 010424 16:28:39 00174 SRC SPIRAL   OK     dAZ_dEL      (      0,     92)>(     0,      0 ) 015 -0001 etaCar2
4 010424 16:29:03 00175 SRC SPIRAL   OK     dAZ_dEL      (   -240,     92)>(     0,      0 ) 015 -0001 etaCar2
5 010424 16:29:24 00176 SRC SPIRAL   OK     dAZ_dEL      (   -240,   -147)>(     0,      0 ) 015 -0001 etaCar2
6 010424 16:29:46 00177 SRC SPIRAL   OK     dAZ_dEL      (   -240,   -387)>(     0,      0 ) 015 -0001 etaCar2
7 010424 16:30:09 00178 SRC SPIRAL   OK     dAZ_dEL      (      0,   -387)>(     0,      0 ) 015 -0001 etaCar2
8 010424 16:30:32 00179 SRC SPIRAL   OK     dAZ_dEL      (    240,   -387)>(     0,      0 ) 015 -0001 etaCar2
9 010424 16:30:55 00180 SRC SPIRAL   OK     dAZ_dEL      (    480,   -387)>(     0,      0 ) 015 -0001 etaCar2
10 010424 16:31:17 00181 SRC SPIRAL   OK     dAZ_dEL      (    480,   -147)>(     0,      0 ) 015 -0001 etaCar2
11 010424 16:31:39 00182 SRC SPIRAL   OK     dAZ_dEL      (    480,     92)>(     0,      0 ) 015 -0001 etaCar2
12 010424 16:32:01 00183 SRC SPIRAL   OK     dAZ_dEL      (    480,    332)>(     0,      0 ) 015 -0001 etaCar2
13 010424 16:32:23 00184 SRC SPIRAL   OK     dAZ_dEL      (    240,    332)>(     0,      0 ) 015 -0001 etaCar2
14 010424 16:32:49 00185 SRC SPIRAL   OK     dAZ_dEL      (      0,    332)>(     0,      0 ) 015 -0001 etaCar2
15 010424 16:33:12 00186 SRC SPIRAL   OK     dAZ_dEL      (   -240,    332)>(     0,      0 ) 015 -0001 etaCar2
16 010424 16:33:35 00187 SRC SPIRAL   OK     dAZ_dEL      (   -480,    332)>(     0,      0 ) 015 -0001 etaCar2
17 010424 16:33:58 00188 SRC SPIRAL   OK     dAZ_dEL      (   -480,     92)>(     0,      0 ) 015 -0001 etaCar2
18 010424 16:34:19 00189 SRC SPIRAL   OK     dAZ_dEL      (   -480,   -147)>(     0,      0 ) 015 -0001 etaCar2
19 010424 16:34:41 00190 SRC SPIRAL   OK     dAZ_dEL      (   -480,   -387)>(     0,      0 ) 015 -0001 etaCar2
20 010424 16:35:03 00191 SRC SPIRAL   OK     dAZ_dEL      (   -480,   -627)>(     0,      0 ) 015 -0001 etaCar2
21 010424 16:35:26 00192 SRC SPIRAL   OK     dAZ_dEL      (   -240,   -627)>(     0,      0 ) 015 -0001 etaCar2
22 010424 16:35:49 00193 SRC SPIRAL   OK     dAZ_dEL      (      0,   -627)>(     0,      0 ) 015 -0001 etaCar2
23 010424 16:36:12 00194 SRC SPIRAL   OK     dAZ_dEL      (    240,   -627)>(     0,      0 ) 015 -0001 etaCar2
24 010424 16:36:35 00195 SRC SPIRAL   OK     dAZ_dEL      (    480,   -627)>(     0,      0 ) 015 -0009 etaCar2
25 010424 17:41:27 00196 SRC SPIRAL   OK     dAZ_dEL      (      0,   -147)>(     0,      0 ) 015 -0001 etaCar2
26 010424 17:41:50 00197 SRC SPIRAL   OK     dAZ_dEL      (    240,   -147)>(     0,      0 ) 015 -0001 etaCar2
27 010424 17:42:12 00198 SRC SPIRAL   OK     dAZ_dEL      (    240,     92)>(     0,      0 ) 015 -0001 etaCar2
28 010424 17:42:34 00199 SRC SPIRAL   OK     dAZ_dEL      (      0,     92)>(     0,      0 ) 015 -0001 etaCar2
29 010424 17:42:58 00200 SRC SPIRAL   OK     dAZ_dEL      (   -240,     92)>(     0,      0 ) 015 -0001 etaCar2
30 010424 17:43:20 00201 SRC SPIRAL   OK     dAZ_dEL      (   -240,   -147)>(     0,      0 ) 015 -0001 etaCar2
31 010424 17:43:41 00202 SRC SPIRAL   OK     dAZ_dEL      (   -240,   -387)>(     0,      0 ) 015 -0001 etaCar2
32 010424 17:44:04 00203 SRC SPIRAL   OK     dAZ_dEL      (      0,   -387)>(     0,      0 ) 015 -0001 etaCar2
33 010424 17:44:26 00204 SRC SPIRAL   OK     dAZ_dEL      (    240,   -387)>(     0,      0 ) 015 -0001 etaCar2
34 010424 17:44:49 00205 SRC SPIRAL   OK     dAZ_dEL      (    480,   -387)>(     0,      0 ) 015 -0001 etaCar2
35 010424 17:45:12 00206 SRC SPIRAL   OK     dAZ_dEL      (    480,   -147)>(     0,      0 ) 015 -0001 etaCar2
36 010424 17:45:33 00207 SRC SPIRAL   OK     dAZ_dEL      (    480,     92)>(     0,      0 ) 015 -0001 etaCar2
37 010424 17:45:55 00208 SRC SPIRAL   OK     dAZ_dEL      (    480,    332)>(     0,      0 ) 015 -0001 etaCar2
38 010424 17:46:17 00209 SRC SPIRAL   OK     dAZ_dEL      (    240,    332)>(     0,      0 ) 015 -0001 etaCar2
39 010424 17:46:43 00210 SRC SPIRAL   OK     dAZ_dEL      (      0,    332)>(     0,      0 ) 015 -0001 etaCar2
40 010424 17:47:07 00211 SRC SPIRAL   OK     dAZ_dEL      (   -240,    332)>(     0,      0 ) 015 -0001 etaCar2
41 010424 17:47:29 00212 SRC SPIRAL   OK     dAZ_dEL      (   -480,    332)>(     0,      0 ) 015 -0001 etaCar2
42 010424 17:47:51 00213 SRC SPIRAL   OK     dAZ_dEL      (   -480,     92)>(     0,      0 ) 015 -0001 etaCar2
43 010424 17:48:14 00214 SRC SPIRAL   OK     dAZ_dEL      (   -480,   -147)>(     0,      0 ) 015 -0001 etaCar2
44 010424 17:48:35 00215 SRC SPIRAL   OK     dAZ_dEL      (   -480,   -387)>(     0,      0 ) 015 -0001 etaCar2
45 010424 17:48:57 00216 SRC SPIRAL   OK     dAZ_dEL      (   -480,   -627)>(     0,      0 ) 015 -0001 etaCar2
46 010424 17:49:21 00217 SRC SPIRAL   OK     dAZ_dEL      (   -240,   -627)>(     0,      0 ) 015 -0001 etaCar2
47 010424 17:49:43 00218 SRC SPIRAL   OK     dAZ_dEL      (      0,   -627)>(     0,      0 ) 015 -0001 etaCar2
48 010424 17:50:06 00219 SRC SPIRAL   OK     dAZ_dEL      (    240,   -627)>(     0,      0 ) 015 -0001 etaCar2
